id	x	y
R_rxn01300_LSQBKT_c0_RSQBKT_	1825.0	5875.0
R_rxn00175_LSQBKT_c0_RSQBKT_	3475.0	7500.0
R_rxn06979_LSQBKT_c0_RSQBKT_	825.0	19200.0
M_cpd03914_c0	825.0	19300.0
M_cpd11584_c0	10200.0	5500.0
R_rxn12642_LSQBKT_c0_RSQBKT_	10300.0	5500.0
M_cpd11430_c0	1300.0	22700.0
R_rxn05247_LSQBKT_c0_RSQBKT_	1300.0	22600.0
M_cpd11435_c0	1400.0	22600.0
R_rxn00986_LSQBKT_c0_RSQBKT_	12575.0	125.0
M_cpd08373_c0	600.0	19600.0
